season,date,away_team,away_point_spread,away_money_line,away_money_line
2019-20,12/8/19,ATL,1.5,105,105
2019-20,12/8/19,TOR,3,130,130
2019-20,12/8/19,CHI,7,250,250
2019-20,12/8/19,LAC,-9,-450,-450
2019-20,12/8/19,SAC,9,330,330
2019-20,12/8/19,OKC,4,150,150
2019-20,12/8/19,MIN,10,450,450
2019-20,12/9/19,LAC,3,130,130
2019-20,12/9/19,CLE,13.5,800,800
2019-20,12/9/19,TOR,-6.5,-270,-270
2019-20,12/9/19,DET,0,-110,-110
2019-20,12/9/19,SAC,12,600,600
2019-20,12/9/19,ORL,13,650,650
2019-20,12/9/19,MIN,3.5,140,140
2019-20,12/9/19,OKC,9,320,320
2019-20,12/9/19,MEM,3.5,140,140
2019-20,12/10/19,DEN,5.5,180,180
2019-20,12/10/19,WAS,-2,-130,-130
2019-20,12/10/19,ATL,8.5,325,325
2019-20,12/10/19,NYK,9.5,375,375
2019-20,12/11/19,BOS,1,100,100
2019-20,12/11/19,LAC,-2.5,-150,-150
2019-20,12/11/19,LAL,-8.5,-430,-430
2019-20,12/11/19,HOU,-11.5,-800,-800
2019-20,12/11/19,CHO,10,400,400
2019-20,12/11/19,UTA,1,-105,-105
2019-20,12/11/19,ATL,6.5,225,225
2019-20,12/11/19,MEM,7,240,240
2019-20,12/11/19,ORL,9.5,350,350
2019-20,12/11/19,OKC,1.5,105,105
2019-20,12/11/19,NYK,5,175,175
2019-20,12/12/19,PHI,1,-105,-105
2019-20,12/12/19,CLE,11.5,600,600
2019-20,12/12/19,DAL,-6.5,-310,-310
2019-20,12/12/19,POR,7.5,260,260
2019-20,12/13/19,HOU,-6.5,-275,-275
2019-20,12/13/19,ORL,7,250,250
2019-20,12/13/19,IND,-6,-265,-265
2019-20,12/13/19,MIL,-12.5,-1100,-1100
2019-20,12/13/19,LAL,-5.5,-240,-240
2019-20,12/13/19,LAC,-4.5,-200,-200
2019-20,12/13/19,CHO,7,230,230
2019-20,12/13/19,NYK,9,330,330
2019-20,12/13/19,GSW,14,800,800
2019-20,12/14/19,SAS,-2,-125,-125
2019-20,12/14/19,BRK,7,255,255
2019-20,12/14/19,LAC,-3,-155,-155
2019-20,12/14/19,WAS,1.5,105,105
2019-20,12/14/19,MIA,8.5,325,325
2019-20,12/14/19,CLE,14,850,850
2019-20,12/14/19,DET,7.5,260,260
2019-20,12/14/19,OKC,6,210,210
2019-20,12/15/19,ORL,0,-110,-110
2019-20,12/15/19,CHO,11.5,550,550
2019-20,12/15/19,PHI,-3.5,-170,-170
2019-20,12/15/19,LAL,-12,-850,-850
2019-20,12/15/19,NYK,10.5,500,500
2019-20,12/15/19,SAC,-4.5,-200,-200
2019-20,12/16/19,WAS,2.5,120,120
2019-20,12/16/19,CLE,13,750,750
2019-20,12/16/19,CHI,5.5,190,190
2019-20,12/16/19,MIA,-2.5,-145,-145
2019-20,12/16/19,SAS,10.5,450,450
2019-20,12/16/19,DAL,10.5,525,525
2019-20,12/16/19,POR,-2.5,-135,-135
2019-20,12/17/19,SAC,-5,-220,-220
2019-20,12/17/19,LAL,-1,-120,-120
2019-20,12/17/19,ATL,2,110,110
2019-20,12/17/19,BRK,-2,-135,-135
2019-20,12/17/19,ORL,6.5,230,230
2019-20,12/17/19,PHX,15,850,850
2019-20,12/18/19,CHI,1,-105,-105
2019-20,12/18/19,TOR,-2.5,-145,-145
2019-20,12/18/19,CHO,3,125,125
2019-20,12/18/19,MIA,8,290,290
2019-20,12/18/19,ORL,3.5,145,145
2019-20,12/18/19,MEM,6.5,230,230
2019-20,12/18/19,BOS,-2,-130,-130
2019-20,12/18/19,ORL,9,375,375
2019-20,12/18/19,GSW,9,375,375
2019-20,12/19/19,UTA,-6.5,-280,-280
2019-20,12/19/19,LAL,3.5,140,140
2019-20,12/19/19,BRK,4,160,160
2019-20,12/19/19,HOU,235.5,180,180
2019-20,12/20/19,SAC,5,180,180
2019-20,12/20/19,MEM,-2.5,-140,-140
2019-20,12/20/19,WAS,6.5,220,220
2019-20,12/20/19,DET,9,350,350
2019-20,12/20/19,NYK,9,400,400
2019-20,12/20/19,PHX,3,130,130
2019-20,12/20/19,DAL,8.5,325,325
2019-20,12/20/19,MIN,11,525,525
2019-20,12/20/19,ORL,3.5,145,145
2019-20,12/20/19,ORL,-2,-130,-130
2019-20,12/21/19,UTA,-7,-300,-300
2019-20,12/21/19,ATL,7.5,270,270
2019-20,12/21/19,WAS,12.5,700,700
2019-20,12/21/19,CHI,-1.5,-125,-125
2019-20,12/21/19,MIL,-13,-1200,-1200
2019-20,12/21/19,SAC,-2,-135,-135
2019-20,12/21/19,LAC,-7.5,-310,-310
2019-20,12/21/19,HOU,-8.5,-425,-425
2019-20,12/21/19,MIN,7,230,230
2019-20,12/22/19,DAL,1.5,105,105
2019-20,12/22/19,CHO,12,650,650
2019-20,12/22/19,IND,8.5,310,310
2019-20,12/22/19,LAC,1,100,100
2019-20,12/22/19,DEN,2.5,120,120
2019-20,12/23/19,PHI,-6.5,-275,-275
2019-20,12/23/19,TOR,5,195,195
2019-20,12/23/19,CHI,5,170,170
2019-20,12/23/19,WAS,3.5,145,145
2019-20,12/23/19,ATL,-2,-130,-130
2019-20,12/23/19,UTA,4.5,160,160
2019-20,12/23/19,SAS,-1,-115,-115
2019-20,12/23/19,DEN,-2.5,-140,-140
2019-20,12/23/19,HOU,-6,-270,-270
2019-20,12/23/19,ORL,6,200,200
2019-20,12/23/19,MIN,1,-105,-105
2019-20,12/25/19,BOS,-4,-185,-185
2019-20,12/25/19,MIL,-3,-150,-150
2019-20,12/25/19,HOU,-11.5,-800,-800
2019-20,12/25/19,LAC,2.5,120,120
2019-20,12/25/19,ORL,9,375,375
2019-20,12/26/19,WAS,6.5,230,230
2019-20,12/26/19,MEM,6,215,215
2019-20,12/26/19,NYK,7,270,270
2019-20,12/26/19,SAS,8,280,280
2019-20,12/26/19,MIN,7,240,240
2019-20,12/26/19,POR,5.5,190,190
2019-20,12/27/19,CLE,14,800,800
2019-20,12/27/19,PHI,-4,-185,-185
2019-20,12/27/19,OKC,-1,-115,-115
2019-20,12/27/19,MIL,-7.5,-350,-350
2019-20,12/27/19,IND,5,175,175
2019-20,12/27/19,PHX,-3.5,-170,-170
2019-20,12/28/19,MEM,9,375,375
2019-20,12/28/19,IND,1.5,105,105
2019-20,12/28/19,TOR,7.5,260,260
2019-20,12/28/19,PHI,1.5,100,100
2019-20,12/28/19,NYK,-3,-160,-160
2019-20,12/28/19,CLE,6.5,230,230
2019-20,12/28/19,BRK,9,375,375
2019-20,12/28/19,ATL,9.5,425,425
2019-20,12/28/19,ORL,6,220,220
2019-20,12/28/19,DAL,-11,-700,-700
2019-20,12/28/19,DET,5,180,180
2019-20,12/28/19,PHX,2.5,120,120
2019-20,12/28/19,LAL,-5,-240,-240
2019-20,12/28/19,UTA,7.5,280,280
2019-20,12/29/19,OKC,4.5,160,160
2019-20,12/29/19,HOU,5,180,180
2019-20,12/29/19,CHO,2.5,125,125
2019-20,12/29/19,SAC,7.5,275,275
2019-20,12/29/19,DAL,5,175,175
2019-20,12/30/19,ATL,10.5,500,500
2019-20,12/30/19,MIA,-11,-750,-750
2019-20,12/30/19,BRK,-4.5,-200,-200
2019-20,12/30/19,MIL,-8.5,-450,-450
2019-20,12/30/19,DET,9.5,375,375
2019-20,12/30/19,PHX,4,145,145
2019-20,12/31/19,BOS,-7.5,-400,-400
2019-20,12/31/19,PHI,3.5,135,135
2019-20,12/31/19,LAC,-6.5,-280,-280
2019-20,12/31/19,GSW,11,525,525
2019-20,12/31/19,CLE,8,350,350
2019-20,12/31/19,DEN,6.5,230,230
2019-20,12/31/19,DAL,-2.5,-145,-145
2019-20,1/1/20,ORL,-3.5,-170,-170
2019-20,1/1/20,POR,-4,-180,-180
2019-20,1/1/20,MIN,18,1500,1500
2019-20,1/1/20,PHX,11,525,525
2019-20,1/2/20,CHO,2,110,110
2019-20,1/2/20,DEN,-1,-115,-115
2019-20,1/2/20,TOR,5.5,180,180
2019-20,1/2/20,GSW,3,130,130
2019-20,1/2/20,UTA,-3.5,-170,-170
2019-20,1/2/20,OKC,2.5,115,115
2019-20,1/2/20,BRK,8,280,280
2019-20,1/2/20,MEM,4.5,170,170
2019-20,1/2/20,DET,12.5,650,650
2019-20,1/3/20,MIA,1,100,100
2019-20,1/3/20,ATL,10.5,450,450
2019-20,1/3/20,POR,-7.5,-340,-340
2019-20,1/3/20,PHI,4.5,160,160
2019-20,1/3/20,NYK,7,240,240
2019-20,1/3/20,ORL,10,425,425
2019-20,1/4/20,MEM,10,450,450
2019-20,1/4/20,TOR,2,110,110
2019-20,1/4/20,UTA,-4,-170,-170
2019-20,1/4/20,OKC,-6.5,-300,-300
2019-20,1/4/20,IND,-7,-320,-320
2019-20,1/4/20,BOS,1,-105,-105
2019-20,1/4/20,DEN,-13,-1000,-1000
2019-20,1/4/20,CHO,11.5,550,550
2019-20,1/4/20,SAS,12,600,600
2019-20,1/4/20,DET,-3,-150,-150
2019-20,1/4/20,ORL,2.5,120,120
2019-20,1/5/20,NYK,9.5,400,400
2019-20,1/5/20,POR,5,185,185
2019-20,1/5/20,MIN,-6,-260,-260
2019-20,1/5/20,MEM,7,240,240
2019-20,1/5/20,DET,14.5,1000,1000
2019-20,1/6/20,BRK,5,180,180
2019-20,1/6/20,IND,-6.5,-265,-265
2019-20,1/6/20,BOS,-8.5,-440,-440
2019-20,1/6/20,OKC,8,270,270
2019-20,1/6/20,DEN,-7.5,-330,-330
2019-20,1/6/20,UTA,-4,-180,-180
2019-20,1/6/20,MIL,-8,-400,-400
2019-20,1/6/20,CHI,8,300,300
2019-20,1/6/20,GSW,10,425,425
2019-20,1/7/20,DET,-3.5,-170,-170
2019-20,1/7/20,POR,2.5,120,120
2019-20,1/7/20,OKC,1,100,100
2019-20,1/7/20,MIN,4.5,160,160
2019-20,1/7/20,SAC,6.5,230,230
2019-20,1/7/20,NYK,13.5,900,900
2019-20,1/8/20,TOR,-2.5,-140,-140
2019-20,1/8/20,MIA,1.5,105,105
2019-20,1/8/20,WAS,9.5,375,375
2019-20,1/8/20,SAS,7,250,250
2019-20,1/8/20,DEN,4,155,155
2019-20,1/8/20,HOU,-8,-360,-360
2019-20,1/8/20,CHI,3,140,140
2019-20,1/8/20,NYK,14,850,850
2019-20,1/8/20,MIL,-13.5,-1500,-1500
2019-20,1/9/20,CLE,7,235,235
2019-20,1/9/20,BOS,0,-110,-110
2019-20,1/9/20,POR,0,-110,-110
2019-20,1/9/20,HOU,-3.5,-170,-170
2019-20,1/10/20,ATL,-1,-115,-115
2019-20,1/10/20,MIA,-4,-185,-185
2019-20,1/10/20,SAS,0,-110,-110
2019-20,1/10/20,ORL,-4,-180,-180
